"Freq.","Gain","Phase","Group Delay"
"1012.193","-66.20541","-94.4707545024831","1.244504E-05"
"1024.535","-65.88927","-94.5253814941631","1.229512E-05"
"1037.027","-65.57311","-94.5806796115492","1.229616E-05"
"1049.671","-65.25695","-94.636655554294","1.229703E-05"
"1062.47","-64.94078","-94.6933190256985","1.229812E-05"
"1075.424","-64.6246","-94.7506785711951","1.229916E-05"
"1088.537","-64.30841","-94.808741978324","1.230011E-05"
"1101.81","-63.99221","-94.8675189282707","1.230125E-05"
"1115.244","-63.676","-94.9270175640526","1.230237E-05"
"1128.842","-63.35979","-94.9872471126622","1.230347E-05"
"1142.606","-63.04356","-95.048216986357","1.230469E-05"
"1156.538","-62.72732","-95.1099360342813","1.230582E-05"
"1170.64","-62.41107","-95.1724142870479","1.230709E-05"
"1184.913","-62.09481","-95.2356600431971","1.230826E-05"
"1199.361","-61.77854","-95.2996839785964","1.230958E-05"
"1213.984","-61.46226","-95.3644953801591","1.231089E-05"
"1228.787","-61.14596","-95.4301048643924","1.231233E-05"
"1243.769","-60.82965","-95.4965208081166","1.231358E-05"
"1258.934","-60.51333","-95.5637547376782","1.231503E-05"
"1274.285","-60.197","-95.631816577884","1.231648E-05"
"1289.822","-59.88065","-95.7007164582502","1.231796E-05"
"1305.549","-59.56429","-95.7704649453316","1.231946E-05"
"1321.467","-59.24792","-95.8410732845786","1.232109E-05"
"1337.58","-58.93153","-95.9125516245615","1.232266E-05"
"1353.889","-58.61513","-95.9849105366505","1.232424E-05"
"1370.397","-58.29871","-96.0581619938077","1.232597E-05"
"1387.106","-57.98228","-96.1323168345695","1.232766E-05"
"1404.019","-57.66583","-96.2073871310586","1.232951E-05"
"1421.139","-57.34937","-96.2833837327838","1.233124E-05"
"1438.467","-57.03289","-96.3603186135897","1.23331E-05"
"1456.006","-56.71639","-96.4382030472229","1.233499E-05"
"1473.759","-56.39988","-96.5170498594152","1.233697E-05"
"1491.728","-56.08335","-96.5968710408732","1.2339E-05"
"1509.917","-55.7668","-96.6776784591626","1.234098E-05"
"1528.327","-55.45023","-96.7594857297111","1.234315E-05"
"1546.962","-55.13364","-96.8423044284226","1.234523E-05"
"1565.824","-54.81704","-96.9261477754037","1.234744E-05"
"1584.916","-54.50041","-97.0110291923859","1.234974E-05"
"1604.241","-54.18377","-97.0969615319657","1.235203E-05"
"1623.802","-53.8671","-97.1839583018182","1.235434E-05"
"1643.601","-53.55041","-97.2720336385477","1.235683E-05"
"1663.641","-53.2337","-97.3612005603023","1.235933E-05"
"1683.926","-52.91696","-97.4514740685266","1.236196E-05"
"1704.458","-52.60021","-97.5428662361296","1.23644E-05"
"1725.24","-52.28342","-97.6353948087187","1.236734E-05"
"1746.276","-51.96662","-97.7290713708049","1.236994E-05"
"1767.569","-51.6498","-97.8239116012783","1.237275E-05"
"1789.121","-51.33294","-97.9199306395838","1.237563E-05"
"1810.935","-51.01606","-98.017143870428","1.237866E-05"
